	ZSCAN29	ZNF592	ZNF384	ZNF24	ZNF143	ZFP36	ZBTB40	ZBTB33	YBX1	USF2	UBTF	TCF12	TBP	TBL1XR1	TARDBP	SUZ12	SREBF1	SMC3	SMARCA5	SMAD1	SKIL	SIN3A	RFX5	RCOR1	RB1	RAD51	POLR2AphosphoS2	POLR2A	PKNOX1	NRF1	NR2F1	NR2C1	NKRF	NFXL1	NFATC3	NBN	MXI1	MTA2	MLLT1	MAZ	MAX	MAFK	LARP7	KDM1A	JUND	IKZF1	HDGF	HDAC2	HCFC1	H4K20me1	H3K9me3	H3K9ac	H3K79me2	H3K4me3	H3K4me2	H3K4me1	H3K36me3	H3K27me3	H3K27ac	H2AFZ	GATAD2B	FOXK2	ETV6	ESRRA	EP300	ELK1	ELF1	E4F1	E2F8	DPF2	Control	CUX1	CTCF	CHD2	CEBPZ	CEBPB	BRCA1	BMI1	BHLHE40	BCLAF1	BACH1	ATF7	ATF2	ARNT	ARID3A	fd
chr9|125548466|125662466|domain_1477;114000bp;ES:2.155;SS:0.936;binSize:1000;winSize:50000|K562	0.4577086808255715	0.4321407388270295	0.4200162638681775	0.4517379988951878	0.4348504244439912	0.4031833696556832	0.39797468736140335	0.4396461187205533	0.4607961723708093	0.4395715541865931	0.4595622104017864	0.4229620144731149	0.3859924523933516	0.4144737118162901	0.4625551260040276	0.4346060429502707	0.4767855953689316	0.4213060473847426	0.4750162707099798	0.42114375287085376	0.4656922210751461	0.41808336946934427	0.4407130724497892	0.4349587500589055	0.44961548822136105	0.4721833000586308	0.5212966755168797	0.4309968014299924	0.4706048639200929	0.4028639948820158	0.4568362008052407	0.4730445950828206	0.4740385705770832	0.4730005926079955	0.4656374630084295	0.4630451817017106	0.489399942654601	0.4463560375865401	0.4448111406283938	0.3969662000924544	0.3545695005121601	0.44995853062067737	0.4496129956841195	0.4384555638749269	0.4187567853222384	0.4402369521137196	0.5329458676503648	0.44205074150019497	0.4313201953740055	0.6755290246608625	0.3407607283396325	0.3521682361903736	0.6495677770140299	0.3030997575339525	0.17710573955388562	0.4603693115209539	0.6401966766547643	0.23198442923344384	0.2824354588033913	0.20784309113483104	0.4540558048007426	0.4502044117115023	0.4784060694318904	0.4335009108394272	0.4379929704224869	0.4367681838949523	0.43704739592206815	0.4504694844022266	0.4374737212626485	0.4452227428243565	0.475122283423752	0.4563287215572181	0.4525752284652488	0.3997418822738478	0.4432069331863223	0.4336026635453775	0.4160182893217472	0.4292987295038179	0.41080067920009294	0.4650767972013682	0.4264691000333882	0.4238157195160924	0.44115391932825454	0.4654543610361077	0.4626821092801652	1
chr1|116333228|116488228|domain_323;left|GM12878	0.5052751689355457	0.4319722019386203	0.4964175639829176	0.4824844448323599	0.4882872712502681	0.4692931559809929	0.4587187759288378	0.46922476315606104	0.4506322726067529	0.6073890748799852	0.4810951209681249	0.4568722500415088	0.6013589240687447	0.5235694256173721	0.5095922172069158	0.4096624544712928	0.4429913465530546	0.5577375892500879	0.5444410698033901	0.4840604071269682	0.5014114910534948	0.5620923356831582	0.5409489317987436	0.539067800754719	0.5453052504011028	0.5018330215176903	0.9030139398346284	1.218801481745221	0.504033484335516	0.5258402691625641	0.4940267401102214	0.44828499917827785	0.5156178705190483	0.5830356083239151	0.5042291082061481	0.5091341785514073	0.5749137140593623	0.5007581736463608	0.5988038072030637	0.5270679739592913	0.5531116347807166	0.5002363565731947	0.5263902420868452	0.3991991683825796	0.5127436764841963	0.5354862662639618	0.5225971511242301	0.4364802081436783	0.5285439751423114	0.5748136765418059	0.3119547472847365	1.054705052179682	1.3356990287072437	0.6425577345877909	0.8642959863265515	0.572881272436045	0.8412676328723756	0.4474484749267137	1.2227891719577704	0.5460153035604481	0.5467550660980681	0.44855191498882174	0.7913584441928062	0.4998800957396564	0.5461633728224659	0.513910299865894	0.4872768398028039	0.4433803574308586	0.529243795905701	0.5447609916790938	0.42589450646245003	0.5101510434143403	0.555267163271956	0.6057843531988261	0.4563050085531749	0.4918296046668505	0.5381795067185013	0.5121655575337928	0.5650390111319201	0.4891868387177544	0.5532188361412846	0.4697397029886286	0.3944542794626688	0.4798399747541722	0.4822244012310844	0
chr4|83414317|83507317|domain_1059;93000bp;ES:1.787;SS:1.629;binSize:1000;winSize:50000|K562	0.5862320796564682	0.6239038825417358	0.5499848202400781	0.5801153464447779	0.4672627484622598	0.3842977460289251	0.8330723406255541	0.6541677051879892	0.5204318178405428	0.473048576077883	0.4850695539685341	0.5930555662999958	0.6574612626849998	0.4546269010928798	0.5176831272222571	0.4437329569643588	0.4446026707658485	0.4259958322344541	0.6292373614303503	0.5079831556077239	0.5610577587966608	0.5015152168408257	0.4674128360581892	0.5052533465409538	0.5692345974206902	0.6356964582813053	1.0745494735248498	0.7502463790352593	0.6265924687367705	0.9657106775579142	0.6128683136254895	0.6021327371165778	0.6270802759543006	0.5653210524132309	0.6829155955836059	0.6915484729873044	0.4719546105356338	0.6393397790318548	0.6346837128916815	0.5363730933272393	0.6871850177226219	0.4482280567174977	0.5954742024178473	0.5685967206157762	0.5716331868898981	0.6559058324958168	0.7079470771714651	0.6942478553406634	0.5248164417757739	0.3451592058019081	0.3021934035297063	1.1778001437436243	0.8557164776163768	0.9683146285398376	1.1834821260959694	0.6927411955670713	0.9929742066629026	0.2206927304289267	1.1914440867252294	0.7519817720935184	0.5704571653295065	0.6527318515463075	0.4810494501413033	0.5588233550928186	0.4899530037548214	0.4894367548727321	0.617886311234683	0.7866397959755619	0.7291666950304739	0.6656107325498603	0.5596268392729462	0.45019386262883504	0.4971678038587834	0.5764976534193071	0.4683499293960025	0.5355846384925701	0.4094422951130969	0.4400388030890877	0.566317385294635	0.5107008184599477	0.44307079510176667	0.6487035271218636	0.6827705135828426	0.6099189780866476	0.5475010954818005	1
chr15|40342002|40405002|domain_905;right|K562	0.505721105565233	0.5076253099213217	0.5103672040035846	0.5175173356962118	0.5509965594249451	0.4305298004515263	0.664673539466725	0.7067114686024623	0.4836565108430747	0.4865882136403959	0.5529113064296011	0.4716918744622329	0.6201465512230157	0.5638014256990004	0.5213401832903869	0.4501660502785517	0.5389326773134842	0.6754618050594763	0.5238171859613169	0.5027221726807596	0.5183824331732706	0.5729337986562327	0.43308381131491214	0.5413302083027375	0.6401884407084526	0.4963752189967301	0.6939300742542505	0.6243121654114836	0.5034088920139738	0.8735556812100409	0.544939693226937	0.5322265763943813	0.5396295477978724	0.4733054123983994	0.4636430470670984	0.5139571416571751	0.4821812123209524	0.5261764018042856	0.5013144388138924	0.6636172829624672	0.7288288049658673	0.4839416938896605	0.5249939209561714	0.5318500746025181	0.5315065736864039	0.5354441076905512	0.6195767173466601	0.5648735830855791	0.6932718090461689	0.5443134986213486	0.30301533721576496	0.7200500157278242	0.6195777645643314	0.7559364790226025	1.0159567672094094	0.7761786128743505	0.698563494985816	0.362101468240061	0.6285618913489814	0.8569747756885355	0.5003256294774073	0.4824571510478713	0.4924131495411409	0.5221734894678289	0.4045081058088708	0.4869982465606327	0.5103714182473321	0.5817995328087212	0.5232389282754432	0.584482315484543	0.4678370815971173	0.4218751671058201	0.6046668400616856	0.6095749935537818	0.4479194890723112	0.5007291302732123	0.2455995410350509	0.4021392928940117	0.5539090289121934	0.4602982303484032	0.4886269239145342	0.5383909488702048	0.43668894685786735	0.5071485125206796	0.4234535448464229	0
chr4|70689317|70751317|domain_1041;62000bp;ES:1.676;SS:2.465;binSize:1000;winSize:50000|K562	0.6035318013835244	0.7093126276832212	0.7376496583704891	0.6764929934453451	0.5069573994238595	0.5228236777370261	0.8885086973694448	0.8383968576725092	0.5542045209131737	0.4232634485803247	0.6437492218890918	0.5601214883021193	0.5765066780387895	0.4601876716611401	0.6424361298949904	0.5103587362593041	0.5429244948735382	0.4407130249309961	0.714760846984347	0.5543964147804029	0.6923473257545629	0.5733954065630884	0.4808581309544978	0.7179915977160921	0.5922684179275666	0.6992806542687006	0.8079359929014064	0.6714100054963122	0.6776856890704921	0.6877769838183125	0.8656134490693965	0.6447783962223629	0.6664537888405964	0.5897663894009909	0.7376039911922528	0.74961475852898	0.4648817212769252	0.6637041742807751	0.7245134177447016	0.7465404627247507	0.9329521434877508	0.6418595097904971	0.6435363853151801	0.6471393195891508	0.7927924040947132	0.7403293554903279	0.7789783482805615	0.8054231762697243	0.5596042744877681	0.569591253884029	0.30949596820199704	1.0001953601632363	1.1466373518126485	1.0535421721385247	1.298061287348573	1.1257936216321716	0.5654984163441631	0.2344408021605648	0.7819597963978209	0.8137039421695939	0.6366442151658304	0.6686745740829013	0.5713369450078968	0.6619185213007561	0.4541600298278225	0.4623552442912429	0.6173948107598374	0.6855416581818851	0.7750345276737117	0.7986315941398399	0.6059023024799377	0.5776738650993397	0.5272487600654813	0.488660007451742	0.5164133811668054	0.7845845142829754	0.4455942842093253	0.5235984273193113	0.5755461003540759	0.4697657435207069	0.5102489997347016	0.7290231047061246	0.5742569359725238	0.6918804468152348	0.6246754520257777	1
chr3|141312047|141459047|domain_847;147000bp;ES:3.024;SS:3.822;binSize:1000;winSize:50000|K562	0.6591154749614447	1.0072783749799887	0.7105085158275949	0.7424306644739159	0.7178315357956311	0.6686938853065879	0.8905342956422571	0.701793614708533	0.6224667856679473	0.6849682346868075	0.6665406105064077	0.6755563212606126	0.8020551012610377	0.6704866589506884	0.6775936553966222	0.6254342534217924	0.6939047347383915	0.7130438904537628	0.7659576636244646	0.6856284958992968	0.6866669663307265	0.6248503795766104	0.6023159141326857	0.7982840065460965	0.6875891527818137	0.7586007627654174	0.9068779451628451	0.7631077455330065	0.8518221591341347	0.6416070248160572	0.8647053509033868	0.7494348345010395	0.6850716197036975	0.6717719030964373	0.7915769103265134	0.7907789530042459	0.6305238012633375	0.7930705802963327	0.7531687643378219	0.7438742467864481	0.9182356828521336	0.7384052712782591	0.658549601776679	0.716847329826934	1.0091851845112068	1.0430638272522048	0.9806835781200048	0.8584637458862319	0.7655587710731506	0.4324243804997119	0.4972789123038242	1.1659147342770593	0.5591058244179674	0.5608536458416413	1.2714164018370924	2.087964099529024	1.0992395567526805	0.2966393823256125	1.8227455647663389	1.6103258189020335	0.6794906760890622	0.7719831658418096	0.6731421831660879	0.7403307694523201	0.5843032351267935	0.6446236918226882	0.7098527849244836	0.8800090187969979	0.7593081303936735	0.90756111404592	0.6547224152817481	0.7027641226684114	0.7720839714037648	0.6826047605076578	0.6058182331958355	0.7327646710527658	0.44584974835207136	0.6172000797369083	0.7566792984246928	0.5758683346167441	0.6508371534006583	0.8182807860537322	0.849392331575473	0.769462979197265	0.7121020815800252	1
chr11|66675541|66781541|domain_373;right|K562	0.5282727769959751	0.6097914941549182	0.5478799499127922	0.5858343402624486	0.5041541653128249	0.4668062528880533	0.7532705432529119	0.7716768273879892	0.4923349067060897	0.4825233833953803	0.5429161916143702	0.5517668876335404	0.6785414865491852	0.5330969741279142	0.5697124965844854	0.4470744318376417	0.5302970547105684	0.5939636826019526	0.6315523783770058	0.5401162385006274	0.5527879446686909	0.5427094088190605	0.4098235339413736	0.6178039232004042	0.6914991092932217	0.5638612238655122	1.0002969776369879	0.6766019113573171	0.6040408542577753	0.8599127437926497	0.7212701007100206	0.6006638541121609	0.6035303527921844	0.5254329588657684	0.5763519450133766	0.6081681117244313	0.5048987456677481	0.6279620661561797	0.6157363458481007	0.6917671135574456	0.7204169911791275	0.46692924506772	0.5750073457712376	0.6214786640969534	0.5885344182587889	0.5871378238631149	0.7306884070202109	0.6802063804622738	0.5472802830032653	0.4742319686208941	0.2828384756881561	0.8315533890791416	0.5792794662237302	0.8400738462156101	1.1236537693669384	0.7292136567409045	0.6850535406016565	0.27234698007803554	0.8037190694302361	0.6089144401341625	0.5613517879003901	0.5550609832631137	0.4793623453412722	0.6039009610443093	0.4133905814869089	0.4682918087034459	0.5288015189691062	0.5958340922474419	0.6211109163110077	0.6838762575475409	0.4990544989216061	0.4464435598138908	0.5424353560211389	0.6720313325620831	0.4378557567582485	0.5278815095476835	0.34488479403428296	0.40789993896467536	0.551160168263602	0.5596961950982099	0.4733902892596415	0.6157054642382258	0.5219384956110745	0.5699334223056944	0.4627885708791712	0
chr12|68577005|68613005|domain_730;left|GM12878	0.5114227532754967	0.4706583722191485	0.4935952946023751	0.5219146598826427	0.4621931766779408	0.42386788772643896	0.561840290330736	0.4665477694471069	0.5037953641664046	0.4148232323347947	0.4344471129841161	0.518158532387985	0.5654540330084461	0.4947570416091163	0.5813968440387774	0.4220399796421365	0.4095684950163905	0.4188929069193375	0.5715761790409865	0.5069105006896184	0.6128400869465542	0.4820058956166914	0.3996517064316048	0.43818865587806616	0.5378458469224411	0.5453243601053945	0.4758874085836698	0.6443304541708073	0.5221244743456965	0.3782841173060246	0.5165673749444711	0.5115596499944388	0.6069700662756179	0.4994626667848836	0.5637175996453285	0.5924538490185194	0.5384887826646793	0.5749864021467849	0.6921587743307219	0.5037469838834352	0.4935734294967585	0.3998800452712323	0.5483025784097899	0.4051267136163675	0.4094146421948342	0.5817993620816505	0.5722652554141715	0.4489886907299978	0.4449883767202257	0.3043556773490864	0.4998187728816686	1.0894452733810642	0.7936107200652371	0.6775527670986932	0.7072931082326928	0.4856116239722453	0.24246462020589304	0.3058810953247846	1.0966305960147456	0.765885287151548	0.5918426439505768	0.4169165799135888	0.5130178068614013	0.40016224578255255	0.4729629004384579	0.4000633735171771	0.5923430927622598	0.4085284975493919	0.5088242629738702	0.6117766425685688	0.4548469903513687	0.4196267289112981	0.34778608816184275	0.4595467282533421	0.42558039929275854	0.3628026245532186	0.3583065603122205	0.5121386717570066	0.5763914315363736	0.4679994701548692	0.5746239786974389	0.6610047743475674	0.4378419696416607	0.5242507831821431	0.5958325385771757	0
chr7|5665762|5708762|domain_1618;43000bp;ES:1.661;SS:4.110;binSize:1000;winSize:50000|K562	0.4955812341696298	0.505712245822497	0.5507865804610214	0.4927412937789692	0.5183778538201205	0.4426386748068156	0.4422556754134519	0.5749771782869827	0.4973329885182782	0.6056222201016892	0.4882797495570196	0.4666580891138912	0.5550113988462079	0.5925390578294695	0.5141049744600563	0.4750095315446772	0.5532276527597421	0.7199414196398922	0.529177545663715	0.5277761691142352	0.505184229095331	0.5340291034753589	0.4476260838094277	0.5601818682542553	0.5839614832924372	0.5132585599465751	1.2472231840830377	0.5697510583115439	0.5041661748650276	0.4748599581892038	0.4817142447932563	0.5315854221729953	0.5429791466235383	0.5169525527334017	0.5054924486476667	0.5129324136375468	0.4922910363112013	0.4859658060114117	0.5249083209816252	0.5733038234979253	0.5443226014326353	0.6712988025522059	0.4955633481282421	0.5130440653818382	0.5465656364521667	0.6132023156724228	0.7426816481607939	0.525825054580419	0.5195368929860826	0.9084957660987796	0.334831081578803	0.4962341288197994	0.6488634904857249	0.3156591208657792	0.3260667685585104	0.9211717461997788	1.3134618272000749	0.2425684871622553	0.6196819689543533	0.2002382029212213	0.4813208454393639	0.4707951561231137	0.5770284396742049	0.5577628131770189	0.4746287530037655	0.4941316467705802	0.4953638971829304	0.5112341379925435	0.530380804707168	0.5480103037401143	0.4814564406417089	0.5282754574874606	0.6644304230910382	0.5699233308128068	0.4915263765311916	0.590694571510859	0.34488098197315875	0.4250363512339393	0.5349220793988515	0.5291416396665664	0.6135301633902415	0.4965485323643986	0.426409900263995	0.5063540193923194	0.4346010056539725	1
chr12|9801007|9967007|domain_716;right|GM12878	0.3722444464472046	0.3774002324203281	0.36560944221903774	0.3644094463368734	0.34551881047760863	0.4067032242676375	0.3794126137400533	0.3781593843042253	0.3924172503474842	0.3140171320015609	0.3826649054554585	0.3816618593666685	0.36707898940545136	0.3510236666391337	0.3738095252581685	0.3808752295517596	0.38720651253797583	0.38595676290429937	0.34886616789364683	0.3662024461870777	0.3942208626350804	0.3433881707903093	0.3495692123924191	0.3459868143341933	0.3766644882185358	0.3958215014858245	0.2346250046355597	0.17724688324485213	0.35784824176219004	0.3409739297344725	0.3336362285547321	0.384471994240568	0.3528795694593336	0.3496044550639624	0.3763702962063366	0.36672295838270985	0.3506539305392177	0.3723638420718737	0.36552083655276735	0.3515080783845596	0.3285487075446097	0.35222291681900075	0.3468986452011839	0.4037321294042629	0.35352571955632195	0.3634447453579506	0.32525182774427985	0.4041144103038069	0.3382925008774707	0.30831210815799964	0.5080719125097247	0.32390473630482186	0.2224944603268274	0.4280449324708145	0.4190979684460021	0.3834859056279368	0.21211928170459	0.6323223657316409	0.28622084576061746	0.5218244257217719	0.34087342247106744	0.31613392372445004	0.32134452893562226	0.3597844288135301	0.3704643449030891	0.3541158121533001	0.3741514287541085	0.3151430661110831	0.3930809391493215	0.3618694045448514	0.407893407155257	0.3831305789193893	0.35171973951552976	0.32798949164268043	0.3942943979858724	0.3678972355668865	0.3394097378542903	0.490356163197924	0.3369708261090405	0.38770267149882265	0.354463636548824	0.3958070017755223	0.39578552312694826	0.3939285004440112	0.38866753963159656	0
